-0.6	-0.6	-4654.6	-4654.6
-0.6	-0.59184	-4415.7	-4409.7
-0.6	-0.58334	-4183.8	-4172.1
-0.6	-0.57446	-3959	-3941.5
-0.6	-0.56522	-3741.1	-3718
-0.6	-0.55556	-3530.1	-3501.6
-0.6	-0.54546	-3326	-3292.2
-0.6	-0.53488	-3128.7	-3089.6
-0.6	-0.5238	-2938.2	-2894
-0.6	-0.5122	-2754.3	-2705.2
-0.6	-0.5	-2577.2	-2523.1
-0.6	-0.48718	-2406.6	-2347.8
-0.6	-0.47368	-2242.5	-2179.1
-0.6	-0.45946	-2085	-2017.1
-0.6	-0.44444	-1933.8	-1861.6
-0.6	-0.42858	-1789.1	-1712.5
-0.6	-0.41176	-1650.6	-1569.9
-0.6	-0.39394	-1518.3	-1433.6
-0.6	-0.375	-1392.2	-1303.6
-0.6	-0.35484	-1272.2	-1179.9
-0.6	-0.33334	-1158.3	-1062.2
-0.6	-0.31034	-1050.3	-950.69
-0.6	-0.28572	-948.12	-845.12
-0.6	-0.25926	-851.77	-745.47
-0.6	-0.23076	-761.13	-651.66
-0.6	-0.2	-676.12	-563.59
-0.6	-0.166666	-596.65	-481.18
-0.6	-0.130434	-522.63	-404.33
-0.6	-0.09091	-453.96	-332.96
-0.6	-0.04762	-390.54	-266.96
-0.6	0	-332.27	-206.23
-0.6	0.052632	-279.04	-150.66
-0.6	0.111112	-230.72	-100.12
-0.6	0.17647	-187.21	-54.508
-0.6	0.25	-148.37	-13.685
-0.6	0.33334	-114.06	22.484
-0.6	0.42858	-84.141	54.143
-0.6	0.53846	-58.456	81.449
-0.6	0.66666	-36.838	104.57
-0.6	0.81818	-19.106	123.68
-0.6	1	-5.0639	138.98
-0.59184	-0.6	-4527.6	-4533.7
-0.59184	-0.59184	-4294.8	-4294.8
-0.59184	-0.58334	-4068.9	-4063
-0.59184	-0.57446	-3849.8	-3838.1
-0.59184	-0.56522	-3637.6	-3620.1
-0.59184	-0.55556	-3432	-3409
-0.59184	-0.54546	-3233.2	-3204.7
-0.59184	-0.53488	-3041	-3007.2
-0.59184	-0.5238	-2855.5	-2816.5
-0.59184	-0.5122	-2676.4	-2632.3
-0.59184	-0.5	-2503.9	-2454.8
-0.59184	-0.48718	-2337.8	-2283.9
-0.59184	-0.47368	-2178.1	-2119.5
-0.59184	-0.45946	-2024.7	-1961.5
-0.59184	-0.44444	-1877.6	-1809.9
-0.59184	-0.42858	-1736.7	-1664.6
-0.59184	-0.41176	-1601.9	-1525.6
-0.59184	-0.39394	-1473.2	-1392.8
-0.59184	-0.375	-1350.5	-1266.2
-0.59184	-0.35484	-1233.8	-1145.6
-0.59184	-0.33334	-1122.9	-1031
-0.59184	-0.31034	-1017.8	-922.31
-0.59184	-0.28572	-918.52	-819.49
-0.59184	-0.25926	-824.84	-722.44
-0.59184	-0.23076	-736.74	-631.09
-0.59184	-0.2	-654.12	-545.35
-0.59184	-0.166666	-576.91	-465.14
-0.59184	-0.130434	-505	-390.35
-0.59184	-0.09091	-438.32	-320.91
-0.59184	-0.04762	-376.75	-256.71
-0.59184	0	-320.2	-197.65
-0.59184	0.052632	-268.56	-143.62
-0.59184	0.111112	-221.71	-94.51
-0.59184	0.17647	-179.55	-50.198
-0.59184	0.25	-141.93	-10.559
-0.59184	0.33334	-108.73	24.541
-0.59184	0.42858	-79.8	55.244
-0.59184	0.53846	-54.994	81.703
-0.59184	0.66666	-34.147	104.08
-0.59184	0.81818	-17.082	122.55
-0.59184	1	-3.6061	137.32
-0.58334	-0.6	-4401	-4413.3
-0.58334	-0.59184	-4174.3	-4180.4
-0.58334	-0.58334	-3954.4	-3954.4
-0.58334	-0.57446	-3741.1	-3735.1
